name,sku,description,image_url,product_url,category
Pinza becchi lunghi  Compound Action mm 190,dwht0-70277,"Pinza becchi lunghi  Compound Action mm 190

Le pinze becchi lunghi Compound Action DEWALT  sono state studiate per garantire un incremento del 70% della capacità di taglio con minor sforzo. Le impugnature Bi Material consentono una presa solida e confortevole.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-70277/DWHT0-70277_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-70277/pinza-becchi-lunghi-compound-action-mm-190?tid=572561,N/A
Morsetto a barra XL 900 mm,dwht0-83187,"Morsetto a barra XL 900 mm

Il morsetto a barra DEWALT da 900 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 270 kg, una profondità di 95 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-83187/DWHT0-83187_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-83187/morsetto-barra-xl-900-mm?tid=572561,N/A
Pinza poligrip con ganascia a V mm300,dwht0-74432,"Pinza poligrip con ganascia a V mm300

La pinza poligrip DEWALT 300 mm è dotata di ganasce lunghe che consentono una superficie  di serraggio più ampia. L'apertura della ganasce consente di operare su bulloni o tubi più larghi rendendola un utensile indispensabile. Impugnatura Bi Material per maggior confort e controllo.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-74432/DWHT0-74432_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-74432/pinza-poligrip-con-ganascia-v-mm300?tid=572561,N/A
Seghetto multiuso,dwht20542-0,"Seghetto multiuso

Il seghetto multiuso DEWALT  è adatto a molteplici applicazioni. Può utilizzare lame per seghetto alternativo o lame standard",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT20542-0/DWHT20542-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht20542-0/seghetto-multiuso?tid=572561,N/A
Tronchese diagonale Compound Action,dwht0-70275,"Tronchese diagonale Compound Action

I trochesi diagonali Compound Action DEWALT  sono stati studiati per garantire un incremento del 70% della capacità di taglio con minor sforzo. Le impugnature Bi Material consentono una presa solida e confortevole.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-70275/DWHT0-70275_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-70275/tronchese-diagonale-compound-action?tid=572561,N/A
Mini seghetto per ferro,dwht20327-0,"Mini seghetto per ferro

Il mini seghetto DEWALT utilizza lame da 300 mm ed è ideale per lavorare in spazi ristretti grazie alla sua forma compatta. Regolazione della tensione  e sostituzione delle lame senza l'utilizzo di utensili.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT20327-0/DWHT20327-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht20327-0/mini-seghetto-ferro?tid=572561,N/A
Morsetto a barra grande mm 600,dwht0-83194,"Morsetto a barra grande mm 600

Il morsetto a barra DEWALT da 600 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 135 kg, una profondità di 82 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-83194/DWHT0-83194_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-83194/morsetto-barra-grande-mm-600?tid=572561,N/A
Morsetto a barra grande mm 900,dwht0-83195,"Morsetto a barra grande mm 900

The DEWALT® 900mm Large Trigger Clamp is versatile and easy to use. Its reinforced nylon body and heat-treated steel bar are strong and durable. With 135kg of clamping force, 82mm throat depth, quick change button for easy conversion to a spread and removable jaw pads to help reduce marring, this clamp was built to exceed the expectations of professional contractors.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-83195/DWHT0-83195_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-83195/morsetto-barra-grande-mm-900?tid=572561,N/A
Cutter con rotella di bloccaggio 18 mm,dwht10332-0,"Cutter con rotella di bloccaggio 18 mm

Il cutter DEWALT 18 mm con rotella di bloccaggio per sicurezza extra. L'elemento spezza lama permette di avere sempre una lama affilata",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT10332-0/DWHT10332-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht10332-0/cutter-con-rotella-di-bloccaggio-18-mm?tid=572561,N/A
Coltello pieghevole a lama retrattile,dwht10035-0,"Coltello pieghevole a lama retrattile

Il coltello pieghevole DEWALT  è compatto e durevole. Il coltello è dotato di serbatoio porta lama. Il sistema cambio lama Rapid Load™ consente di rimuovere la lama usata e sostituirla con una lama nuova in modo semplice e veloce.Il coltello è anche dotato di clip per aggancio alla cintura.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT10035-0/DWHT10035-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht10035-0/coltello-pieghevole-lama-retrattile?tid=572561,N/A
Morsetto a barra grande mm 300,dwht0-83193,"Morsetto a barra grande mm 300

Il morsetto a barra DEWALT da 300 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 135 kg, una profondità di 82 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-83193/DWHT0-83193_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-83193/morsetto-barra-grande-mm-300?tid=572561,N/A
Flessometro tascabile 3 m,dwht36098-1,"Flessometro tascabile 3 m

Il flessometro tascabile  DEWALT da 3 m è estremamente compatto.  Dotato di magnete nella posteriore della cassa.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT36098-1/DWHT36098-1_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht36098-1/flessometro-tascabile-3-m?tid=572561,N/A
1.5kg | 3.5Ib Chopping Axe,dwht56032-0,"1.5kg | 3.5Ib Chopping Axe

The DEWALT® 1.6kg (3.5 Ib) Single Bit Axe is designed to withstand harsh forestry environments and to make the user’s job easier. With a hollow, light-weight handle, swings are quicker and more balanced for deeper, easier cuts. Scalloped cutting edges easily cut into wood and release from material. This axe has our carbon fibre composite overstrike to protect the most vulnerable part of the tool where most long handle tools commonly break.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT56032-0/DWHT56032-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht56032-0/15kg-35ib-chopping-axe?tid=572561,N/A
Morsetto parallelo 1200 mm,dwht83832-1,"Morsetto parallelo 1200 mm

Il Morsetto parallelo DEWALT 1200 mm è progettato per fornire una pressione di serraggio fino a 680 kg. Ideale per utilizzo con legno, in particolare per incollare porte o piani di tavoli. Dotato di maniglia ergonomica in bi material per una presa ottimale e grande capacità di serraggio",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT83832-1/DWHT83832-1_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht83832-1/morsetto-parallelo-1200-mm?tid=572561,N/A
Tronchese diagonale mm200,dwht0-74274,"Tronchese diagonale mm200

Trochese diagonale DEWALT. Grazie alla speciale configurazione della punta taglia e rimuove chiodi e graffe. Taglienti temprati ad induzione che mantengono a lungo l'affilatura e consentono un taglio raso.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-74274/DWHT0-74274_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-74274/tronchese-diagonale-mm200?tid=572561,N/A
Cutter con rotella di bloccaggio 25 mm,dwht10333-0,"Cutter con rotella di bloccaggio 25 mm

Il cutter DEWALT 25 mm con rotella di bloccaggio per sicurezza extra. L'elemento spezza lama permette di avere sempre una lama affilata.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT10333-0/DWHT10333-0_P1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht10333-0/cutter-con-rotella-di-bloccaggio-25-mm?tid=572561,N/A
Seghetto 5 in 1,dwht0-20547,"Seghetto 5 in 1

Il seghetto 5 in 1 DEWALT  ha un profilo sottile che ne permette l'utilizzo anche in spazi ristretti. La robusta intelaiatura permette una tensione della lama fino a 150 kg. Lama regolabile a 45° o 90° per taglio standard o raso.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-20547/DWHT0-20547_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-20547/seghetto-5-1?tid=572561,N/A
Cutter in metallo autobloccante da 25 mm,dwht10045-0,"Cutter in metallo autobloccante da 25 mm

Il cutter in metallo DEWAL da 25 mm è resistente alla ruggine ed è dotato di cursore autobloccante che permette una precisa regolazione della lama. L'elemento spezza lama permette di avere sempre una lama perfettamente affilata.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT10045-0/DWHT10045-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht10045-0/cutter-metallo-autobloccante-da-25-mm?tid=572561,N/A
Set 3 pinze Compound Action,dwht0-70485,"Set 3 pinze Compound Action

Il set di 3 pinze Set 3 pinze Compound Action è dotato di taglienti temprati ad induzione per maggior robustezza e durata",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-70485/DWHT0-70485_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-70485/set-3-pinze-compound-action?tid=572561,N/A
Morsetto a barra medio mm300,dwht0-83140,"Morsetto a barra medio mm300

Il morsetto a barra DEWALT da 300 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 63 kg, una profondità di 62 mm, le ganasce removibili, questo morsetto è stato progettato per superare le aspettative degli utilizzatori professionali.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-83140/DWHT0-83140_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-83140/morsetto-barra-medio-mm300?tid=572561,N/A
Livella torpedo compatta  165 mm,dwht42525-0,"Livella torpedo compatta  165 mm

La livella torpedo compatta  DEWALT 165 mm è ideale per utilizzo in spazi ristretti. Struttura in alluminio estruso di lunga durata. finestrelle superiori e inferiori per una lettura della fiala rapida e precisa in qualsiasi angolazione. Base a V con magneti per grande stabilità anche su tubi.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT42525-0/DWHT42525-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht42525-0/livella-torpedo-compatta-165-mm?tid=572561,N/A
"380mm | 15"" Panel Saw",dwht0-20544,"380mm | 15"" Panel Saw

The DEWALT® 380mm (15"") Panel Saw has a 3-sided tooth design allowing the user to cut up to 50% faster than traditional hand saws. Not only is this saw faster but it preserves sharpness due to the induction-hardened teeth. This provides long-lasting sharpness for the job at hand. The Tough Coat™ provides a low-friction coating for less drag.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-20544/DWHT0-20544_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-20544/380mm-15-panel-saw?tid=572561,N/A
Morsetto parallelo 600 mm,dwht83831-1,"Morsetto parallelo 600 mm

Il Morsetto parallelo DEWALT 600 mm è progettato per fornire una pressione di serraggio fino a 680 kg. Ideale per utilizzo con legno, in particolare per incollare porte o piani di tavoli. Dotato di maniglia ergonomica in bi material per una presa ottimale e grande capacità di serraggio.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT83831-1/DWHT83831-1_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht83831-1/morsetto-parallelo-600-mm?tid=572561,N/A
Morsetto a barra medio mm150,dwht0-83139,"Morsetto a barra medio mm150

Il morsetto a barra DEWALT da 150 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 63 kg, una profondità di 62 mm, le ganasce removibili, questo morsetto è stato progettato per superare le aspettative degli utilizzatori professionali.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-83139/DWHT0-83139_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-83139/morsetto-barra-medio-mm150?tid=572561,N/A
Rotella metrica 30m nastro in acciaio,dwht0-34093,"Rotella metrica 30m nastro in acciaio

Rotella metrica DEWALT 30m con nastro in acciaio resistente alla ruggine di lunga durata. Manovella per il riavvolgimento rapido con rapporto 5:1 Fornita con moschettone con molla e un trasporto agevole",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-34093/DWHT0-34093_P2.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-34093/rotella-metrica-30m-nastro-acciaio?tid=572561,N/A
Folding Locking Hex Keys Metric,dwht0-70263,"Folding Locking Hex Keys Metric

The DEWALT® Folding Locking Hex Key (MM) includes a push-button locking feature allowing for 3 positions and includes 8 of the most commonly used hex key sizes.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-70263/DWHT0-70263_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-70263/folding-locking-hex-keys-metric?tid=572561,N/A
Flessometro Premium 5m,dwht0-36114,"Flessometro Premium 5m

Il flessometro DEWALT Premium 5 m è ideale per uso intenso, sopratutto in edilizia. Dotato di una cassa robusta per una maggiore protezione e durata, con rivestimento in gomma. Rivetto TRUE-ZERO® per misure perfette sia interne che esterne. Nastro da 32mm con rivestimento termoplastico che assicura rigidità in estensione fino a 4m",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-36114/DWHT0-36114_2.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-36114/flessometro-premium-5m?tid=572561,N/A
Livella a sezione rettangolare 180 cm,dwht0-43172,"Livella a sezione rettangolare 180 cm

La livella DEWALT  da 180 cm a sezione rettangolare garantisce precisione e durata grazie alle fiale antichoc e alla struttura in metallo robusta con estremità rivestite in gomma",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-43172/DWHT0-43172_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-43172/livella-sezione-rettangolare-180-cm?tid=572561,N/A
Morsetto a barra XL mm300,dwht0-83185,"Morsetto a barra XL mm300

Il morsetto a barra DEWALT da 300 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 270 kg, una profondità di 95 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT0-83185/DWHT0-83185_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht0-83185/morsetto-barra-xl-mm300?tid=572561,N/A
Flacone polvere rossa 225 g,dwht47048-9,"Flacone polvere rossa 225 g

Flacone polvere rossa 225 g DEWALT. Bottiglia con forma ovale che non rotola sulle superficie di lavoro. Ampia apertura per facilitare la fuoriuscita della polvere.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT47048-9/DWHT47048-9_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht47048-9/flacone-polvere-rossa-225-g?tid=572561,N/A
Martello XP grande velocità 400 g,dwht51145-0,"Martello XP grande velocità 400 g

Il martello DEWALT grande velocità da 400 g ha una potenza pari ad un martello da 794 g. Completamente in acciaio di grande durata . Incavo portachiodo magnetico per utilizzo con una mano.L'impugnatura assorbe le vibrazioni per maggior comfort dell'utilizzatore. La penna può essere utilizzata anche per l'estrazione dei chiodi.",https://www.dewalt.it/EMEA/PRODUCT/IMAGES/HIRES/DWHT51145-0/DWHT51145-0_1.jpg?resize=530x530,https://www.dewalt.it/prodotto/dwht51145-0/martello-xp-grande-velocita-400-g?tid=572561,N/A
